execution_id,combination,platform,kind,attempt,timestamp,environment_type,runner_version,outcome,duration_scenario_ms,duration_total_ms,failed_step,artifacts,notes
"MQ1-AND-WARMUP-01","MQ1 × Android emulator","android","WARMUP","1","2026-09-24T00:26:32.122Z","EMULATED","0.0.60","SUCCESS","25453","30596","","MQ1-AND-WARMUP-01/harness-precheck.json;MQ1-AND-WARMUP-01/terminal.png;MQ1-AND-WARMUP-01/view-tree-terminal.json;MQ1-AND-WARMUP-01/record.json;MQ1-AND-WARMUP-01/runner.log","reset: app was not installed before this execution"
"MQ1-AND-MEASURED-01","MQ1 × Android emulator","android","MEASURED","1","2026-09-24T00:27:03.058Z","EMULATED","0.0.60","SUCCESS","21321","33071","","MQ1-AND-MEASURED-01/harness-precheck.json;MQ1-AND-MEASURED-01/terminal.png;MQ1-AND-MEASURED-01/view-tree-terminal.json;MQ1-AND-MEASURED-01/record.json;MQ1-AND-MEASURED-01/runner.log",""
"MQ1-AND-MEASURED-02","MQ1 × Android emulator","android","MEASURED","2","2026-09-24T00:27:36.262Z","EMULATED","0.0.60","SUCCESS","15909","21109","","MQ1-AND-MEASURED-02/harness-precheck.json;MQ1-AND-MEASURED-02/terminal.png;MQ1-AND-MEASURED-02/view-tree-terminal.json;MQ1-AND-MEASURED-02/record.json;MQ1-AND-MEASURED-02/runner.log",""
"MQ1-AND-MEASURED-03","MQ1 × Android emulator","android","MEASURED","3","2026-09-24T00:27:57.474Z","EMULATED","0.0.60","SUCCESS","16240","22344","","MQ1-AND-MEASURED-03/harness-precheck.json;MQ1-AND-MEASURED-03/terminal.png;MQ1-AND-MEASURED-03/view-tree-terminal.json;MQ1-AND-MEASURED-03/record.json;MQ1-AND-MEASURED-03/runner.log",""
"MQ1-AND-MEASURED-04","MQ1 × Android emulator","android","MEASURED","4","2026-09-24T00:28:19.925Z","EMULATED","0.0.60","SUCCESS","15645","20573","","MQ1-AND-MEASURED-04/harness-precheck.json;MQ1-AND-MEASURED-04/terminal.png;MQ1-AND-MEASURED-04/view-tree-terminal.json;MQ1-AND-MEASURED-04/record.json;MQ1-AND-MEASURED-04/runner.log",""
"MQ1-AND-MEASURED-05","MQ1 × Android emulator","android","MEASURED","5","2026-09-24T00:28:40.604Z","EMULATED","0.0.60","SUCCESS","16224","20665","","MQ1-AND-MEASURED-05/harness-precheck.json;MQ1-AND-MEASURED-05/terminal.png;MQ1-AND-MEASURED-05/view-tree-terminal.json;MQ1-AND-MEASURED-05/record.json;MQ1-AND-MEASURED-05/runner.log",""
"MQ1-AND-MEASURED-06","MQ1 × Android emulator","android","MEASURED","6","2026-09-24T00:29:01.376Z","EMULATED","0.0.60","SUCCESS","15007","20334","","MQ1-AND-MEASURED-06/harness-precheck.json;MQ1-AND-MEASURED-06/terminal.png;MQ1-AND-MEASURED-06/view-tree-terminal.json;MQ1-AND-MEASURED-06/record.json;MQ1-AND-MEASURED-06/runner.log",""
"MQ1-AND-MEASURED-07","MQ1 × Android emulator","android","MEASURED","7","2026-09-24T00:29:21.813Z","EMULATED","0.0.60","SUCCESS","14721","19210","","MQ1-AND-MEASURED-07/harness-precheck.json;MQ1-AND-MEASURED-07/terminal.png;MQ1-AND-MEASURED-07/view-tree-terminal.json;MQ1-AND-MEASURED-07/record.json;MQ1-AND-MEASURED-07/runner.log",""
"MQ1-AND-MEASURED-08","MQ1 × Android emulator","android","MEASURED","8","2026-09-24T00:29:41.214Z","EMULATED","0.0.60","SUCCESS","15769","20944","","MQ1-AND-MEASURED-08/harness-precheck.json;MQ1-AND-MEASURED-08/terminal.png;MQ1-AND-MEASURED-08/view-tree-terminal.json;MQ1-AND-MEASURED-08/record.json;MQ1-AND-MEASURED-08/runner.log",""
"MQ1-AND-MEASURED-09","MQ1 × Android emulator","android","MEASURED","9","2026-09-24T00:30:02.260Z","EMULATED","0.0.60","SUCCESS","15463","20681","","MQ1-AND-MEASURED-09/harness-precheck.json;MQ1-AND-MEASURED-09/terminal.png;MQ1-AND-MEASURED-09/view-tree-terminal.json;MQ1-AND-MEASURED-09/record.json;MQ1-AND-MEASURED-09/runner.log",""
"MQ1-AND-MEASURED-10","MQ1 × Android emulator","android","MEASURED","10","2026-09-24T00:30:23.045Z","EMULATED","0.0.60","SUCCESS","14722","19544","","MQ1-AND-MEASURED-10/harness-precheck.json;MQ1-AND-MEASURED-10/terminal.png;MQ1-AND-MEASURED-10/view-tree-terminal.json;MQ1-AND-MEASURED-10/record.json;MQ1-AND-MEASURED-10/runner.log",""
