execution_id,combination,platform,kind,attempt,timestamp,environment_type,runner_version,outcome,duration_scenario_ms,duration_total_ms,failed_step,artifacts,notes
"MQ1-IOS-WARMUP-01","MQ1 × iOS Simulator","ios","WARMUP","1","2026-09-24T00:58:25.749Z","SIMULATED","0.0.60","SUCCESS","67368","76423","","MQ1-IOS-WARMUP-01/harness-precheck.json;MQ1-IOS-WARMUP-01/terminal.png;MQ1-IOS-WARMUP-01/view-tree-terminal.json;MQ1-IOS-WARMUP-01/record.json;MQ1-IOS-WARMUP-01/runner.log","reset: app was not installed before this execution"
"MQ1-IOS-MEASURED-01","MQ1 × iOS Simulator","ios","MEASURED","1","2026-09-24T00:59:42.962Z","SIMULATED","0.0.60","SUCCESS","78498","89003","","MQ1-IOS-MEASURED-01/harness-precheck.json;MQ1-IOS-MEASURED-01/terminal.png;MQ1-IOS-MEASURED-01/view-tree-terminal.json;MQ1-IOS-MEASURED-01/record.json;MQ1-IOS-MEASURED-01/runner.log",""
"MQ1-IOS-MEASURED-02","MQ1 × iOS Simulator","ios","MEASURED","2","2026-09-24T01:01:12.540Z","SIMULATED","0.0.60","SUCCESS","57259","69177","","MQ1-IOS-MEASURED-02/harness-precheck.json;MQ1-IOS-MEASURED-02/terminal.png;MQ1-IOS-MEASURED-02/view-tree-terminal.json;MQ1-IOS-MEASURED-02/record.json;MQ1-IOS-MEASURED-02/runner.log",""
"MQ1-IOS-MEASURED-03","MQ1 × iOS Simulator","ios","MEASURED","3","2026-09-24T01:02:21.927Z","SIMULATED","0.0.60","SUCCESS","40514","47903","","MQ1-IOS-MEASURED-03/harness-precheck.json;MQ1-IOS-MEASURED-03/terminal.png;MQ1-IOS-MEASURED-03/view-tree-terminal.json;MQ1-IOS-MEASURED-03/record.json;MQ1-IOS-MEASURED-03/runner.log",""
"MQ1-IOS-MEASURED-04","MQ1 × iOS Simulator","ios","MEASURED","4","2026-09-24T01:03:10.070Z","SIMULATED","0.0.60","SUCCESS","48001","57780","","MQ1-IOS-MEASURED-04/harness-precheck.json;MQ1-IOS-MEASURED-04/terminal.png;MQ1-IOS-MEASURED-04/view-tree-terminal.json;MQ1-IOS-MEASURED-04/record.json;MQ1-IOS-MEASURED-04/runner.log",""
"MQ1-IOS-MEASURED-05","MQ1 × iOS Simulator","ios","MEASURED","5","2026-09-24T01:04:08.122Z","SIMULATED","0.0.60","SUCCESS","42773","51699","","MQ1-IOS-MEASURED-05/harness-precheck.json;MQ1-IOS-MEASURED-05/terminal.png;MQ1-IOS-MEASURED-05/view-tree-terminal.json;MQ1-IOS-MEASURED-05/record.json;MQ1-IOS-MEASURED-05/runner.log",""
"MQ1-IOS-MEASURED-06","MQ1 × iOS Simulator","ios","MEASURED","6","2026-09-24T01:05:00.173Z","SIMULATED","0.0.60","SUCCESS","45994","54429","","MQ1-IOS-MEASURED-06/harness-precheck.json;MQ1-IOS-MEASURED-06/terminal.png;MQ1-IOS-MEASURED-06/view-tree-terminal.json;MQ1-IOS-MEASURED-06/record.json;MQ1-IOS-MEASURED-06/runner.log",""
"MQ1-IOS-MEASURED-07","MQ1 × iOS Simulator","ios","MEASURED","7","2026-09-24T01:05:54.796Z","SIMULATED","0.0.60","SUCCESS","54286","63392","","MQ1-IOS-MEASURED-07/harness-precheck.json;MQ1-IOS-MEASURED-07/terminal.png;MQ1-IOS-MEASURED-07/view-tree-terminal.json;MQ1-IOS-MEASURED-07/record.json;MQ1-IOS-MEASURED-07/runner.log",""
"MQ1-IOS-MEASURED-08","MQ1 × iOS Simulator","ios","MEASURED","8","2026-09-24T01:06:58.478Z","SIMULATED","0.0.60","SUCCESS","60964","72761","","MQ1-IOS-MEASURED-08/harness-precheck.json;MQ1-IOS-MEASURED-08/terminal.png;MQ1-IOS-MEASURED-08/view-tree-terminal.json;MQ1-IOS-MEASURED-08/record.json;MQ1-IOS-MEASURED-08/runner.log",""
"MQ1-IOS-MEASURED-09","MQ1 × iOS Simulator","ios","MEASURED","9","2026-09-24T01:08:11.588Z","SIMULATED","0.0.60","SUCCESS","52250","64731","","MQ1-IOS-MEASURED-09/harness-precheck.json;MQ1-IOS-MEASURED-09/terminal.png;MQ1-IOS-MEASURED-09/view-tree-terminal.json;MQ1-IOS-MEASURED-09/record.json;MQ1-IOS-MEASURED-09/runner.log",""
"MQ1-IOS-MEASURED-10","MQ1 × iOS Simulator","ios","MEASURED","10","2026-09-24T01:09:16.643Z","SIMULATED","0.0.60","SUCCESS","52722","63867","","MQ1-IOS-MEASURED-10/harness-precheck.json;MQ1-IOS-MEASURED-10/terminal.png;MQ1-IOS-MEASURED-10/view-tree-terminal.json;MQ1-IOS-MEASURED-10/record.json;MQ1-IOS-MEASURED-10/runner.log",""
"MQ2-IOS-WARMUP-01","MQ2 × iOS Simulator","ios","WARMUP","1","2026-09-24T01:10:21.122Z","SIMULATED","0.0.60","SUCCESS","24515","86243","","MQ2-IOS-WARMUP-01/harness-precheck.json;MQ2-IOS-WARMUP-01/terminal.png;MQ2-IOS-WARMUP-01/view-tree-terminal.json;MQ2-IOS-WARMUP-01/record.json;MQ2-IOS-WARMUP-01/runner.log",""
"MQ2-IOS-MEASURED-01","MQ2 × iOS Simulator","ios","MEASURED","1","2026-09-24T01:11:48.239Z","SIMULATED","0.0.60","SUCCESS","31222","115607","","MQ2-IOS-MEASURED-01/harness-precheck.json;MQ2-IOS-MEASURED-01/terminal.png;MQ2-IOS-MEASURED-01/view-tree-terminal.json;MQ2-IOS-MEASURED-01/record.json;MQ2-IOS-MEASURED-01/runner.log",""
