execution_id,combination,platform,kind,attempt,timestamp,environment_type,runner_version,outcome,duration_scenario_ms,duration_total_ms,failed_step,artifacts,notes
"MQ1-AND-WARMUP-01","MQ1 × Android emulator","android","WARMUP","1","2026-09-22T17:50:47.335Z","EMULATED","0.0.60","SUCCESS","26132","35444","","MQ1-AND-WARMUP-01/harness-precheck.json;MQ1-AND-WARMUP-01/terminal.png;MQ1-AND-WARMUP-01/view-tree-terminal.json;MQ1-AND-WARMUP-01/record.json;MQ1-AND-WARMUP-01/runner.log","reset: app was not installed before this execution"
"MQ1-AND-MEASURED-01","MQ1 × Android emulator","android","MEASURED","1","2026-09-22T17:51:22.976Z","EMULATED","0.0.60","SUCCESS","23287","32295","","MQ1-AND-MEASURED-01/harness-precheck.json;MQ1-AND-MEASURED-01/terminal.png;MQ1-AND-MEASURED-01/view-tree-terminal.json;MQ1-AND-MEASURED-01/record.json;MQ1-AND-MEASURED-01/runner.log",""
"MQ1-AND-MEASURED-02","MQ1 × Android emulator","android","MEASURED","2","2026-09-22T17:51:55.447Z","EMULATED","0.0.60","SUCCESS","18218","26068","","MQ1-AND-MEASURED-02/harness-precheck.json;MQ1-AND-MEASURED-02/terminal.png;MQ1-AND-MEASURED-02/view-tree-terminal.json;MQ1-AND-MEASURED-02/record.json;MQ1-AND-MEASURED-02/runner.log",""
"MQ1-AND-MEASURED-03","MQ1 × Android emulator","android","MEASURED","3","2026-09-22T17:52:21.650Z","EMULATED","0.0.60","SUCCESS","15108","20990","","MQ1-AND-MEASURED-03/harness-precheck.json;MQ1-AND-MEASURED-03/terminal.png;MQ1-AND-MEASURED-03/view-tree-terminal.json;MQ1-AND-MEASURED-03/record.json;MQ1-AND-MEASURED-03/runner.log",""
"MQ1-AND-MEASURED-04","MQ1 × Android emulator","android","MEASURED","4","2026-09-22T17:52:42.745Z","EMULATED","0.0.60","SUCCESS","14816","19351","","MQ1-AND-MEASURED-04/harness-precheck.json;MQ1-AND-MEASURED-04/terminal.png;MQ1-AND-MEASURED-04/view-tree-terminal.json;MQ1-AND-MEASURED-04/record.json;MQ1-AND-MEASURED-04/runner.log",""
"MQ1-AND-MEASURED-05","MQ1 × Android emulator","android","MEASURED","5","2026-09-22T17:53:02.193Z","EMULATED","0.0.60","SUCCESS","14366","18719","","MQ1-AND-MEASURED-05/harness-precheck.json;MQ1-AND-MEASURED-05/terminal.png;MQ1-AND-MEASURED-05/view-tree-terminal.json;MQ1-AND-MEASURED-05/record.json;MQ1-AND-MEASURED-05/runner.log",""
"MQ1-AND-MEASURED-06","MQ1 × Android emulator","android","MEASURED","6","2026-09-22T17:53:21.014Z","EMULATED","0.0.60","SUCCESS","14630","19116","","MQ1-AND-MEASURED-06/harness-precheck.json;MQ1-AND-MEASURED-06/terminal.png;MQ1-AND-MEASURED-06/view-tree-terminal.json;MQ1-AND-MEASURED-06/record.json;MQ1-AND-MEASURED-06/runner.log",""
"MQ1-AND-MEASURED-07","MQ1 × Android emulator","android","MEASURED","7","2026-09-22T17:53:40.235Z","EMULATED","0.0.60","SUCCESS","14332","19200","","MQ1-AND-MEASURED-07/harness-precheck.json;MQ1-AND-MEASURED-07/terminal.png;MQ1-AND-MEASURED-07/view-tree-terminal.json;MQ1-AND-MEASURED-07/record.json;MQ1-AND-MEASURED-07/runner.log",""
"MQ1-AND-MEASURED-08","MQ1 × Android emulator","android","MEASURED","8","2026-09-22T17:53:59.748Z","EMULATED","0.0.60","SUCCESS","14276","19672","","MQ1-AND-MEASURED-08/harness-precheck.json;MQ1-AND-MEASURED-08/terminal.png;MQ1-AND-MEASURED-08/view-tree-terminal.json;MQ1-AND-MEASURED-08/record.json;MQ1-AND-MEASURED-08/runner.log",""
"MQ1-AND-MEASURED-09","MQ1 × Android emulator","android","MEASURED","9","2026-09-22T17:54:19.521Z","EMULATED","0.0.60","SUCCESS","13238","18353","","MQ1-AND-MEASURED-09/harness-precheck.json;MQ1-AND-MEASURED-09/terminal.png;MQ1-AND-MEASURED-09/view-tree-terminal.json;MQ1-AND-MEASURED-09/record.json;MQ1-AND-MEASURED-09/runner.log",""
"MQ1-AND-MEASURED-10","MQ1 × Android emulator","android","MEASURED","10","2026-09-22T17:54:37.991Z","EMULATED","0.0.60","SUCCESS","13952","19260","","MQ1-AND-MEASURED-10/harness-precheck.json;MQ1-AND-MEASURED-10/terminal.png;MQ1-AND-MEASURED-10/view-tree-terminal.json;MQ1-AND-MEASURED-10/record.json;MQ1-AND-MEASURED-10/runner.log",""
"MQ2-AND-WARMUP-01","MQ2 × Android emulator","android","WARMUP","1","2026-09-22T17:54:57.349Z","EMULATED","0.0.60","SUCCESS","8981","28278","","MQ2-AND-WARMUP-01/harness-precheck.json;MQ2-AND-WARMUP-01/terminal.png;MQ2-AND-WARMUP-01/view-tree-terminal.json;MQ2-AND-WARMUP-01/record.json;MQ2-AND-WARMUP-01/runner.log",""
"MQ2-AND-MEASURED-01","MQ2 × Android emulator","android","MEASURED","1","2026-09-22T17:55:25.727Z","EMULATED","0.0.60","SUCCESS","13124","31876","","MQ2-AND-MEASURED-01/harness-precheck.json;MQ2-AND-MEASURED-01/terminal.png;MQ2-AND-MEASURED-01/view-tree-terminal.json;MQ2-AND-MEASURED-01/record.json;MQ2-AND-MEASURED-01/runner.log",""
"MQ2-AND-MEASURED-02","MQ2 × Android emulator","android","MEASURED","2","2026-09-22T17:55:57.701Z","EMULATED","0.0.60","SUCCESS","8923","27010","","MQ2-AND-MEASURED-02/harness-precheck.json;MQ2-AND-MEASURED-02/terminal.png;MQ2-AND-MEASURED-02/view-tree-terminal.json;MQ2-AND-MEASURED-02/record.json;MQ2-AND-MEASURED-02/runner.log",""
"MQ2-AND-MEASURED-03","MQ2 × Android emulator","android","MEASURED","3","2026-09-22T17:56:24.809Z","EMULATED","0.0.60","SUCCESS","14612","33330","","MQ2-AND-MEASURED-03/harness-precheck.json;MQ2-AND-MEASURED-03/terminal.png;MQ2-AND-MEASURED-03/view-tree-terminal.json;MQ2-AND-MEASURED-03/record.json;MQ2-AND-MEASURED-03/runner.log",""
"MQ2-AND-MEASURED-04","MQ2 × Android emulator","android","MEASURED","4","2026-09-22T17:56:58.258Z","EMULATED","0.0.60","SUCCESS","7532","25690","","MQ2-AND-MEASURED-04/harness-precheck.json;MQ2-AND-MEASURED-04/terminal.png;MQ2-AND-MEASURED-04/view-tree-terminal.json;MQ2-AND-MEASURED-04/record.json;MQ2-AND-MEASURED-04/runner.log",""
"MQ2-AND-MEASURED-05","MQ2 × Android emulator","android","MEASURED","5","2026-09-22T17:57:24.049Z","EMULATED","0.0.60","SUCCESS","9063","27910","","MQ2-AND-MEASURED-05/harness-precheck.json;MQ2-AND-MEASURED-05/terminal.png;MQ2-AND-MEASURED-05/view-tree-terminal.json;MQ2-AND-MEASURED-05/record.json;MQ2-AND-MEASURED-05/runner.log",""
"MQ2-AND-MEASURED-06","MQ2 × Android emulator","android","MEASURED","6","2026-09-22T17:57:52.060Z","EMULATED","0.0.60","SUCCESS","9770","28792","","MQ2-AND-MEASURED-06/harness-precheck.json;MQ2-AND-MEASURED-06/terminal.png;MQ2-AND-MEASURED-06/view-tree-terminal.json;MQ2-AND-MEASURED-06/record.json;MQ2-AND-MEASURED-06/runner.log",""
"MQ2-AND-MEASURED-07","MQ2 × Android emulator","android","MEASURED","7","2026-09-22T17:58:20.950Z","EMULATED","0.0.60","SUCCESS","9028","28712","","MQ2-AND-MEASURED-07/harness-precheck.json;MQ2-AND-MEASURED-07/terminal.png;MQ2-AND-MEASURED-07/view-tree-terminal.json;MQ2-AND-MEASURED-07/record.json;MQ2-AND-MEASURED-07/runner.log",""
"MQ2-AND-MEASURED-08","MQ2 × Android emulator","android","MEASURED","8","2026-09-22T17:58:49.763Z","EMULATED","0.0.60","SUCCESS","8863","28313","","MQ2-AND-MEASURED-08/harness-precheck.json;MQ2-AND-MEASURED-08/terminal.png;MQ2-AND-MEASURED-08/view-tree-terminal.json;MQ2-AND-MEASURED-08/record.json;MQ2-AND-MEASURED-08/runner.log",""
"MQ2-AND-MEASURED-09","MQ2 × Android emulator","android","MEASURED","9","2026-09-22T17:59:18.174Z","EMULATED","0.0.60","SUCCESS","9250","27896","","MQ2-AND-MEASURED-09/harness-precheck.json;MQ2-AND-MEASURED-09/terminal.png;MQ2-AND-MEASURED-09/view-tree-terminal.json;MQ2-AND-MEASURED-09/record.json;MQ2-AND-MEASURED-09/runner.log",""
"MQ2-AND-MEASURED-10","MQ2 × Android emulator","android","MEASURED","10","2026-09-22T17:59:46.168Z","EMULATED","0.0.60","SUCCESS","8458","27405","","MQ2-AND-MEASURED-10/harness-precheck.json;MQ2-AND-MEASURED-10/terminal.png;MQ2-AND-MEASURED-10/view-tree-terminal.json;MQ2-AND-MEASURED-10/record.json;MQ2-AND-MEASURED-10/runner.log",""
"MQ3-AND-WARMUP-01","MQ3 × Android emulator","android","WARMUP","1","2026-09-22T18:00:13.673Z","EMULATED","0.0.60","FAILURE","","95462","checkout screen visible (MC-06, MC-08)","MQ3-AND-WARMUP-01/harness-precheck.json;MQ3-AND-WARMUP-01/failure.png;MQ3-AND-WARMUP-01/view-tree-failure.json;MQ3-AND-WARMUP-01/device-log-failure.txt;MQ3-AND-WARMUP-01/record.json;MQ3-AND-WARMUP-01/runner.log","failed: ExpectError: Expected element to be visible, but it was not"
"MQ3-AND-MEASURED-01","MQ3 × Android emulator","android","MEASURED","1","2026-09-22T18:01:49.317Z","EMULATED","0.0.60","FAILURE","","95040","checkout screen visible (MC-06, MC-08)","MQ3-AND-MEASURED-01/harness-precheck.json;MQ3-AND-MEASURED-01/failure.png;MQ3-AND-MEASURED-01/view-tree-failure.json;MQ3-AND-MEASURED-01/device-log-failure.txt;MQ3-AND-MEASURED-01/record.json;MQ3-AND-MEASURED-01/runner.log","failed: ExpectError: Expected element to be visible, but it was not"
"MQ3-AND-MEASURED-02","MQ3 × Android emulator","android","MEASURED","2","2026-09-22T18:03:24.518Z","EMULATED","0.0.60","FAILURE","","94968","checkout screen visible (MC-06, MC-08)","MQ3-AND-MEASURED-02/harness-precheck.json;MQ3-AND-MEASURED-02/failure.png;MQ3-AND-MEASURED-02/view-tree-failure.json;MQ3-AND-MEASURED-02/device-log-failure.txt;MQ3-AND-MEASURED-02/record.json;MQ3-AND-MEASURED-02/runner.log","failed: ExpectError: Expected element to be visible, but it was not"
"MQ3-AND-MEASURED-03","MQ3 × Android emulator","android","MEASURED","3","2026-09-22T18:04:59.678Z","EMULATED","0.0.60","FAILURE","","94918","checkout screen visible (MC-06, MC-08)","MQ3-AND-MEASURED-03/harness-precheck.json;MQ3-AND-MEASURED-03/failure.png;MQ3-AND-MEASURED-03/view-tree-failure.json;MQ3-AND-MEASURED-03/device-log-failure.txt;MQ3-AND-MEASURED-03/record.json;MQ3-AND-MEASURED-03/runner.log","failed: ExpectError: Expected element to be visible, but it was not"
"MQ3-AND-MEASURED-04","MQ3 × Android emulator","android","MEASURED","4","2026-09-22T18:06:34.841Z","EMULATED","0.0.60","FAILURE","","95014","checkout screen visible (MC-06, MC-08)","MQ3-AND-MEASURED-04/harness-precheck.json;MQ3-AND-MEASURED-04/failure.png;MQ3-AND-MEASURED-04/view-tree-failure.json;MQ3-AND-MEASURED-04/device-log-failure.txt;MQ3-AND-MEASURED-04/record.json;MQ3-AND-MEASURED-04/runner.log","failed: ExpectError: Expected element to be visible, but it was not"
