execution_id,combination,platform,kind,attempt,timestamp,environment_type,runner_version,outcome,duration_scenario_ms,duration_total_ms,failed_step,artifacts,notes
"MQ1-IOS-WARMUP-01","MQ1 × iOS Simulator","ios","WARMUP","1","2026-09-22T18:37:33.702Z","SIMULATED","0.0.60","SUCCESS","75848","86204","","MQ1-IOS-WARMUP-01/harness-precheck.json;MQ1-IOS-WARMUP-01/terminal.png;MQ1-IOS-WARMUP-01/view-tree-terminal.json;MQ1-IOS-WARMUP-01/record.json;MQ1-IOS-WARMUP-01/runner.log","reset: app was not installed before this execution"
"MQ1-IOS-MEASURED-01","MQ1 × iOS Simulator","ios","MEASURED","1","2026-09-22T18:39:01.574Z","SIMULATED","0.0.60","SUCCESS","55380","83096","","MQ1-IOS-MEASURED-01/harness-precheck.json;MQ1-IOS-MEASURED-01/terminal.png;MQ1-IOS-MEASURED-01/view-tree-terminal.json;MQ1-IOS-MEASURED-01/record.json;MQ1-IOS-MEASURED-01/runner.log",""
"MQ1-IOS-MEASURED-02","MQ1 × iOS Simulator","ios","MEASURED","2","2026-09-22T18:40:25.259Z","SIMULATED","0.0.60","SUCCESS","44991","55383","","MQ1-IOS-MEASURED-02/harness-precheck.json;MQ1-IOS-MEASURED-02/terminal.png;MQ1-IOS-MEASURED-02/view-tree-terminal.json;MQ1-IOS-MEASURED-02/record.json;MQ1-IOS-MEASURED-02/runner.log",""
"MQ1-IOS-MEASURED-03","MQ1 × iOS Simulator","ios","MEASURED","3","2026-09-22T18:41:20.922Z","SIMULATED","0.0.60","SUCCESS","44580","53597","","MQ1-IOS-MEASURED-03/harness-precheck.json;MQ1-IOS-MEASURED-03/terminal.png;MQ1-IOS-MEASURED-03/view-tree-terminal.json;MQ1-IOS-MEASURED-03/record.json;MQ1-IOS-MEASURED-03/runner.log",""
"MQ1-IOS-MEASURED-04","MQ1 × iOS Simulator","ios","MEASURED","4","2026-09-22T18:42:14.856Z","SIMULATED","0.0.60","SUCCESS","39851","47341","","MQ1-IOS-MEASURED-04/harness-precheck.json;MQ1-IOS-MEASURED-04/terminal.png;MQ1-IOS-MEASURED-04/view-tree-terminal.json;MQ1-IOS-MEASURED-04/record.json;MQ1-IOS-MEASURED-04/runner.log",""
"MQ1-IOS-MEASURED-05","MQ1 × iOS Simulator","ios","MEASURED","5","2026-09-22T18:43:02.406Z","SIMULATED","0.0.60","SUCCESS","50231","58582","","MQ1-IOS-MEASURED-05/harness-precheck.json;MQ1-IOS-MEASURED-05/terminal.png;MQ1-IOS-MEASURED-05/view-tree-terminal.json;MQ1-IOS-MEASURED-05/record.json;MQ1-IOS-MEASURED-05/runner.log",""
"MQ1-IOS-MEASURED-06","MQ1 × iOS Simulator","ios","MEASURED","6","2026-09-22T18:44:01.243Z","SIMULATED","0.0.60","SUCCESS","54826","67027","","MQ1-IOS-MEASURED-06/harness-precheck.json;MQ1-IOS-MEASURED-06/terminal.png;MQ1-IOS-MEASURED-06/view-tree-terminal.json;MQ1-IOS-MEASURED-06/record.json;MQ1-IOS-MEASURED-06/runner.log",""
"MQ1-IOS-MEASURED-07","MQ1 × iOS Simulator","ios","MEASURED","7","2026-09-22T18:45:08.549Z","SIMULATED","0.0.60","SUCCESS","58563","68850","","MQ1-IOS-MEASURED-07/harness-precheck.json;MQ1-IOS-MEASURED-07/terminal.png;MQ1-IOS-MEASURED-07/view-tree-terminal.json;MQ1-IOS-MEASURED-07/record.json;MQ1-IOS-MEASURED-07/runner.log",""
"MQ1-IOS-MEASURED-08","MQ1 × iOS Simulator","ios","MEASURED","8","2026-09-22T18:46:17.622Z","SIMULATED","0.0.60","SUCCESS","58490","69098","","MQ1-IOS-MEASURED-08/harness-precheck.json;MQ1-IOS-MEASURED-08/terminal.png;MQ1-IOS-MEASURED-08/view-tree-terminal.json;MQ1-IOS-MEASURED-08/record.json;MQ1-IOS-MEASURED-08/runner.log",""
"MQ1-IOS-MEASURED-09","MQ1 × iOS Simulator","ios","MEASURED","9","2026-09-22T18:47:27.065Z","SIMULATED","0.0.60","SUCCESS","60511","69999","","MQ1-IOS-MEASURED-09/harness-precheck.json;MQ1-IOS-MEASURED-09/terminal.png;MQ1-IOS-MEASURED-09/view-tree-terminal.json;MQ1-IOS-MEASURED-09/record.json;MQ1-IOS-MEASURED-09/runner.log",""
"MQ1-IOS-MEASURED-10","MQ1 × iOS Simulator","ios","MEASURED","10","2026-09-22T18:48:37.391Z","SIMULATED","0.0.60","SUCCESS","56076","66172","","MQ1-IOS-MEASURED-10/harness-precheck.json;MQ1-IOS-MEASURED-10/terminal.png;MQ1-IOS-MEASURED-10/view-tree-terminal.json;MQ1-IOS-MEASURED-10/record.json;MQ1-IOS-MEASURED-10/runner.log",""
"MQ2-IOS-WARMUP-01","MQ2 × iOS Simulator","ios","WARMUP","1","2026-09-22T18:49:43.809Z","SIMULATED","0.0.60","SUCCESS","24657","93767","","MQ2-IOS-WARMUP-01/harness-precheck.json;MQ2-IOS-WARMUP-01/terminal.png;MQ2-IOS-WARMUP-01/view-tree-terminal.json;MQ2-IOS-WARMUP-01/record.json;MQ2-IOS-WARMUP-01/runner.log",""
"MQ2-IOS-MEASURED-01","MQ2 × iOS Simulator","ios","MEASURED","1","2026-09-22T18:51:17.916Z","SIMULATED","0.0.60","SUCCESS","16714","71892","","MQ2-IOS-MEASURED-01/harness-precheck.json;MQ2-IOS-MEASURED-01/terminal.png;MQ2-IOS-MEASURED-01/view-tree-terminal.json;MQ2-IOS-MEASURED-01/record.json;MQ2-IOS-MEASURED-01/runner.log",""
"MQ2-IOS-MEASURED-02","MQ2 × iOS Simulator","ios","MEASURED","2","2026-09-22T18:52:30.019Z","SIMULATED","0.0.60","SUCCESS","23329","74087","","MQ2-IOS-MEASURED-02/harness-precheck.json;MQ2-IOS-MEASURED-02/terminal.png;MQ2-IOS-MEASURED-02/view-tree-terminal.json;MQ2-IOS-MEASURED-02/record.json;MQ2-IOS-MEASURED-02/runner.log",""
"MQ2-IOS-MEASURED-03","MQ2 × iOS Simulator","ios","MEASURED","3","2026-09-22T18:53:44.575Z","SIMULATED","0.0.60","SUCCESS","19784","82186","","MQ2-IOS-MEASURED-03/harness-precheck.json;MQ2-IOS-MEASURED-03/terminal.png;MQ2-IOS-MEASURED-03/view-tree-terminal.json;MQ2-IOS-MEASURED-03/record.json;MQ2-IOS-MEASURED-03/runner.log",""
"MQ2-IOS-MEASURED-04","MQ2 × iOS Simulator","ios","MEASURED","4","2026-09-22T18:55:07.091Z","SIMULATED","0.0.60","SUCCESS","21101","75946","","MQ2-IOS-MEASURED-04/harness-precheck.json;MQ2-IOS-MEASURED-04/terminal.png;MQ2-IOS-MEASURED-04/view-tree-terminal.json;MQ2-IOS-MEASURED-04/record.json;MQ2-IOS-MEASURED-04/runner.log",""
